name,yelp_url,menupages_url
Hot Chocolate,http://www.yelp.com/biz/hot-chocolate-chicago,http://chicago.menupages.com/restaurants/hot-chocolate/
Hot Doug's,http://www.yelp.com/biz/hot-dougs-chicago,http://chicago.menupages.com/restaurants/hot-dougs/
Hugo's Frog Bar & Fish House,http://www.yelp.com/biz/hugos-frog-bar-chicago,http://chicago.menupages.com/restaurants/hugos-frog-bar-fish-house/
India House,http://www.yelp.com/biz/india-house-restaurant-chicago-2,http://chicago.menupages.com/restaurants/india-house/
Japonais,http://www.yelp.com/biz/japonais-restaurant-chicago,http://chicago.menupages.com/restaurants/japonais/
Keefer's,http://www.yelp.com/biz/keefers-restaurant-chicago,http://chicago.menupages.com/restaurants/keefers/
Kiki's Bistro,http://www.yelp.com/biz/kikis-bistro-chicago,http://chicago.menupages.com/restaurants/kikis-bistro/
Kuma's Corner,http://www.yelp.com/biz/kumas-corner-chicago,http://chicago.menupages.com/restaurants/kumas-corner/
L2O,http://www.yelp.com/biz/l2o-chicago,http://chicago.menupages.com/restaurants/kumas-corner/
La Cantina,http://www.yelp.com/biz/la-cantina-chicago,http://chicago.menupages.com/restaurants/la-cantina/
La Sardine,http://www.yelp.com/biz/la-sardine-chicago,http://chicago.menupages.com/restaurants/la-sardine/
Lao Beijing,http://www.yelp.com/biz/lao-beijing-chicago,http://chicago.menupages.com/restaurants/lao-beijing/
Lao Sze Chuan,http://www.yelp.com/biz/lao-sze-chuan-chicago-2,http://chicago.menupages.com/restaurants/lao-sze-chuan/
Le Bouchon,http://www.yelp.com/biz/le-bouchon-chicago,http://chicago.menupages.com/restaurants/le-bouchon/
Le Colonial,http://www.yelp.com/biz/le-colonial-chicago,http://chicago.menupages.com/restaurants/le-colonial/
Les Nomades,http://www.yelp.com/biz/les-nomades-chicago,http://chicago.menupages.com/restaurants/les-nomades/
Longman & Eagle,http://www.yelp.com/biz/longman-and-eagle-chicago,http://chicago.menupages.com/restaurants/longman-eagle/
Lou Malnati's Pizzeria,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-5,http://chicago.menupages.com/restaurants/lou-malnatis-pizzeria-3/
Lou Malnati's Pizzeria,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago,http://chicago.menupages.com/restaurants/lou-malnatis-pizzeria/
Lou Malnati's Pizzeria,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-4,http://chicago.menupages.com/restaurants/lou-malnatis-pizzeria-2/
Lou Malnati's Pizzeria,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-3,http://chicago.menupages.com/restaurants/lou-malnatis-2/
Lou Mitchell's,http://www.yelp.com/biz/lou-mitchells-restaurant-and-bakery-chicago-2,http://chicago.menupages.com/restaurants/lou-mitchells/
Lula,http://www.yelp.com/biz/lula-cafe-chicago,http://chicago.menupages.com/restaurants/lula-cafe/
M Henry,http://www.yelp.com/biz/m-henry-chicago,http://chicago.menupages.com/restaurants/m-henry/
Manny's Coffee Shop & Deli,http://www.yelp.com/biz/mannys-coffee-shop-and-deli-chicago,http://chicago.menupages.com/restaurants/mannys-coffee-shop-deli/
Mirabell,http://www.yelp.com/biz/mirabell-restaurant-and-lounge-chicago,http://chicago.menupages.com/restaurants/mirabell-restaurant-lounge/
MK,http://www.yelp.com/biz/mk-restaurant-chicago,http://chicago.menupages.com/restaurants/mk/
Mon Ami Gabi,http://www.yelp.com/biz/mon-ami-gabi-chicago,http://chicago.menupages.com/restaurants/mon-ami-gabi/
Mr. Beef,http://www.yelp.com/biz/mr-beef-chicago-2,http://chicago.menupages.com/restaurants/mr-beef-on-orleans/
Naha,http://www.yelp.com/biz/naha-chicago,http://chicago.menupages.com/restaurants/naha/
North Pond,http://www.yelp.com/biz/north-pond-chicago,http://chicago.menupages.com/restaurants/north-pond/
one sixtyblue,http://www.yelp.com/biz/one-sixtyblue-chicago,http://chicago.menupages.com/restaurants/one-sixtyblue/
The Original Gino's East,http://www.yelp.com/biz/ginos-east-chicago-3,http://chicago.menupages.com/restaurants/ginos-east/
The Original Gino's East,http://www.yelp.com/biz/ginos-east-chicago-5,http://chicago.menupages.com/restaurants/ginos-east-4/
